"","Date","Activity","Duration","Distance","Steps","Calories"
"1","2014-05-01","walking",3401,2.458,5197,195
"2","2014-05-01","transport",5349,15.971,0,0
"3","2014-05-02","walking",4357,3.61,6882,287
"4","2014-05-02","transport",2683,9.711,0,0
"5","2014-05-02","running",1800,0,4500,267
"6","2014-05-02","transport",2671,7.816,0,0
"7","2014-05-03","walking",2677,1.829,3857,145
"8","2014-05-03","transport",8721,53.979,0,0
"9","2014-05-04","walking",4531,3.954,7388,314
"10","2014-05-04","transport",420,0.816,0,0
"11","2014-05-05","walking",4522,3.631,7345,289
"12","2014-05-05","transport",3411,8.721,0,0
"13","2014-05-05","running",1202,2.173,3213,209
"14","2014-05-06","walking",4950,3.583,7675,285
"15","2014-05-06","transport",4617,15.488,0,0
"16","2014-05-06","running",1800,0,0,267
"17","2014-05-07","walking",3518,2.585,5509,206
"18","2014-05-07","transport",6174,18.347,0,0
"19","2014-05-07","running",150,0.218,337,21
"20","2014-05-08","walking",4817,3.526,7251,280
"21","2014-05-08","transport",4942,21.403,0,0
"22","2014-05-09","walking",7420,5.674,12099,451
"23","2014-05-09","transport",5465,14.241,0,0
"24","2014-05-09","running",1800,0,0,267
"25","2014-05-10","walking",853,0.519,1251,41
"26","2014-05-10","transport",1176,3.772,0,0
"27","2014-05-11","walking",1525,0.94,2208,75
"28","2014-05-11","transport",2411,11.605,0,0
"29","2014-05-12","walking",8915,6.422,13614,511
"30","2014-05-12","transport",5053,15.805,0,0
"31","2014-05-12","running",900,0,2250,133
"32","2014-05-13","walking",2880,2.169,4428,172
"33","2014-05-13","transport",5110,15.281,0,0
"34","2014-05-14","walking",4257,2.981,6272,237
"35","2014-05-14","transport",4433,15.013,0,0
"36","2014-05-14","running",153,0.23,375,22
"37","2014-05-15","walking",3002,2.305,4539,183
"38","2014-05-15","transport",5097,15.19,0,0
"39","2014-05-16","walking",3843,2.842,5715,226
"40","2014-05-16","transport",5338,14.866,0,0
"41","2014-05-16","running",1800,0,4500,267
"42","2014-05-17","walking",828,0.551,1300,44
"43","2014-05-17","transport",855,3.654,0,0
"44","2014-05-18","walking",5437,4.517,8153,359
"45","2014-05-18","transport",546,1.96,0,0
"46","2014-05-19","walking",5607,3.749,8453,298
"47","2014-05-19","transport",4534,15.053,0,0
"48","2014-05-19","running",1800,0,4500,267
"49","2014-05-20","walking",4273,2.973,6297,236
"50","2014-05-20","transport",6331,16.684,0,0
"51","2014-05-20","running",156,0.433,465,41
"52","2014-05-21","walking",5482,3.582,7840,285
"53","2014-05-21","transport",5467,15.608,0,0
"54","2014-05-21","running",1565,0.203,271,231
"55","2014-05-22","walking",7935,5.454,11434,434
"56","2014-05-22","transport",4662,14.554,0,0
"57","2014-05-23","walking",6173,4.779,9217,380
"58","2014-05-23","transport",4842,15.779,0,0
"59","2014-05-24","walking",2807,2.274,4918,181
"60","2014-05-24","transport",3716,12.961,0,0
"61","2014-05-25","walking",1403,1.082,2159,86
"62","2014-05-25","transport",1040,1.23,0,0
"63","2014-05-26","walking",10600,7.562,15871,601
"64","2014-05-26","transport",3163,8.633,0,0
"65","2014-05-27","walking",4168,3.117,6264,248
"66","2014-05-27","transport",6132,16.682,0,0
"67","2014-05-28","walking",2912,2.2,4464,175
"68","2014-05-28","transport",3731,9.268,0,0
"69","2014-05-29","walking",3925,2.904,6061,231
"70","2014-05-29","transport",847,2.884,0,0
"71","2014-05-30","walking",2486,1.974,4032,157
"72","2014-05-30","transport",164,0.644,0,0
"73","2014-05-31","walking",5459,3.871,7561,308
"74","2014-05-31","transport",4264,14.747,0,0
"75","2014-06-01","walking",1433,0.869,1955,69
"76","2014-06-01","transport",1590,6.421,0,0
"77","2014-06-02","walking",2674,1.845,3804,147
"78","2014-06-02","transport",3768,9.49,0,0
"79","2014-06-03","walking",5314,4.494,8924,357
"80","2014-06-03","transport",6592,15.285,0,0
"81","2014-06-04","walking",3334,2.249,4755,179
"82","2014-06-04","transport",5184,12.733,0,0
"83","2014-06-05","walking",7678,5.924,11605,471
"84","2014-06-05","transport",6159,17.065,0,0
"85","2014-06-06","walking",2081,1.397,3293,111
"86","2014-06-06","transport",3633,9.358,0,0
"87","2014-06-07","walking",6954,4.762,10694,379
"88","2014-06-07","transport",5787,17.731,0,0
"89","2014-06-07","running",181,0.266,447,26
"90","2014-06-08","walking",5447,4.402,8021,350
"91","2014-06-08","transport",182,0.707,0,0
"92","2014-06-09","walking",5186,4.07,8195,324
"93","2014-06-09","transport",3221,8.182,0,0
"94","2014-06-10","walking",2579,1.928,4176,153
"95","2014-06-10","transport",5610,16.077,0,0
"96","2014-06-11","walking",2803,2.243,4499,178
"97","2014-06-11","transport",3202,8.807,0,0
"98","2014-06-12","walking",2460,1.761,3686,140
"99","2014-06-12","transport",3141,9.567,0,0
"100","2014-06-13","walking",4576,3.444,7163,274
"101","2014-06-13","transport",4789,15.413,0,0
"102","2014-06-14","walking",1104,0.667,1574,53
"103","2014-06-14","transport",973,3.6,0,0
"104","2014-06-15","walking",1124,0.687,1468,55
"105","2014-06-15","transport",4134,14.102,0,0
"106","2014-06-16","walking",4306,3.304,6689,263
"107","2014-06-16","transport",3884,13.415,0,0
"108","2014-06-16","running",124,0.192,262,19
"109","2014-06-17","walking",2052,1.5,3115,119
"110","2014-06-17","transport",3640,8.664,0,0
"111","2014-06-18","walking",6589,5.203,9827,414
"112","2014-06-18","transport",3354,8.484,0,0
"113","2014-06-19","walking",2935,2.156,4467,171
"114","2014-06-19","transport",5927,16.307,0,0
"115","2014-06-19","running",150,0.1,203,11
"116","2014-06-20","walking",8412,6.046,12342,481
"117","2014-06-20","transport",7807,29.255,0,0
"118","2014-06-21","walking",675,0.428,951,34
"119","2014-06-21","transport",943,3.821,0,0
"120","2014-06-22","walking",6643,6.755,10898,537
"121","2014-06-22","transport",2418,6.301,0,0
"122","2014-06-23","walking",3244,2.252,5030,179
"123","2014-06-23","transport",4477,13.135,0,0
"124","2014-06-23","running",150,0.263,369,25
"125","2014-06-24","walking",2527,1.644,3660,131
"126","2014-06-24","transport",3196,9.527,0,0
"127","2014-06-24","running",240,0.519,633,49
"128","2014-06-25","walking",2883,2.044,4240,163
"129","2014-06-25","transport",3003,9.237,0,0
"130","2014-06-26","walking",2894,1.924,4053,153
"131","2014-06-26","transport",3527,10.05,0,0
"132","2014-06-26","running",181,0.212,339,21
"133","2014-06-27","walking",7545,5.535,11885,440
"134","2014-06-27","transport",7038,20.643,0,0
"135","2014-06-28","walking",1663,1.068,2317,85
"136","2014-06-28","transport",1063,3.693,0,0
"137","2014-06-29","walking",1243,1.072,2133,85
"138","2014-06-29","transport",128,0.572,0,0
"139","2014-06-30","walking",3199,2.383,5084,190
"140","2014-06-30","transport",3037,9.45,0,0
"141","2014-06-30","running",270,0.434,595,42
"142","2014-07-01","walking",2589,1.768,3604,141
"143","2014-07-01","transport",5659,17.022,0,0
"144","2014-07-02","walking",366,0.181,495,14
"145","2014-07-03","walking",3354,2.428,5135,193
"146","2014-07-03","transport",4432,12.647,0,0
"147","2014-07-04","walking",110,0.047,146,4
"148","2014-07-05","walking",729,0.534,1195,42
"149","2014-07-05","transport",1206,3.469,0,0
"150","2014-07-06","walking",7547,6.16,12001,490
"151","2014-07-06","transport",1441,3.359,0,0
"152","2014-07-07","walking",2851,2.003,4327,159
"153","2014-07-07","transport",4103,13.431,0,0
"154","2014-07-08","walking",3529,2.837,5799,226
"155","2014-07-08","transport",3368,10.795,0,0
"156","2014-07-08","running",210,0.437,597,42
"157","2014-07-09","walking",2433,1.734,3637,138
"158","2014-07-09","transport",3478,7.901,0,0
"159","2014-07-10","walking",4928,3.677,7232,292
"160","2014-07-10","transport",3318,10.445,0,0
"161","2014-07-11","walking",4914,3.808,7792,303
"162","2014-07-11","transport",3943,11.592,0,0
"163","2014-07-12","walking",6690,5.615,10927,447
"164","2014-07-12","transport",5971,13.524,0,0
"165","2014-07-12","running",811,1.529,2223,147
"166","2014-07-13","walking",5346,4.301,8053,342
"167","2014-07-13","transport",1488,3.975,0,0
"168","2014-07-13","running",150,0.084,106,9
"169","2014-07-14","walking",3967,2.965,5719,236
"170","2014-07-14","transport",6695,21.418,0,0
"171","2014-07-15","walking",2245,1.732,3432,138
"172","2014-07-15","transport",3970,10.765,0,0
"173","2014-07-16","walking",2620,1.824,3894,145
"174","2014-07-16","transport",3391,9.638,0,0
"175","2014-07-17","walking",211,0.087,278,7
"176","2014-07-18","walking",4137,3.025,5754,241
"177","2014-07-18","transport",2782,9.167,0,0
"178","2014-07-19","walking",3794,2.715,5858,216
"179","2014-07-19","transport",5940,36.674,0,0
